Observation id	A2E							
								
Media file(s)								
								
Player #1	C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E1.MP4							
Player #1	C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E2.MP4							
Player #1	C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E3.MP4							
Player #1	C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E4.MP4							
								
Observation date	2021-06-14 07:49:18							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
163.313	C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E1.MP4	2126.150	29.97	Dominant	Chase	Aggressive		POINT
229.571	C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E1.MP4	2126.150	29.97	Dominant	Lead	Reproductive		POINT
252.657	C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E1.MP4	2126.150	29.97	Dominant	Lead	Reproductive		POINT
258.157	C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E1.MP4	2126.150	29.97	Dominant	Lead	Reproductive		POINT
282.435	C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E1.MP4	2126.150	29.97	Dominant	Lead	Reproductive		POINT
407.311	C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E1.MP4	2126.150	29.97	Dominant	Lead	Reproductive		POINT
407.809	C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E1.MP4	2126.150	29.97	Dominant	Lead	Reproductive		POINT
532.691	C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E2.MP4	2126.150	29.97	Dominant	Entry/Exit Pot	Reproductive		POINT
