,Behavior,Behavior next,Behavioral category,Counts_0,Counts_1,Counts_2,Counts_3,avg,stderr
0,Border Fight,Chase,Aggressive,2.0,0.0,1.0,0.0,0.75,0.47871355387816905
1,Border Fight,Lateral Side Display,Aggressive,1.0,0.0,0.0,0.0,0.25,0.25
2,Border Fight,Lead,Aggressive,2.0,0.0,0.0,0.0,0.5,0.5
3,Border Fight,Scrape,Aggressive,1.0,0.0,0.0,0.0,0.25,0.25
4,Chase,Border Fight,Aggressive,5.0,0.0,1.0,0.0,1.5,1.1902380714238083
5,Chase,Chase,Aggressive,59.0,0.0,82.0,0.0,35.25,20.886099843356746
6,Chase,Dig Substrate,Aggressive,2.0,0.0,9.0,0.0,2.75,2.1360009363293826
7,Chase,Entry/Exit Pot,Aggressive,8.0,0.0,28.0,0.0,9.0,6.60807586719967
8,Chase,Foraging,Aggressive,1.0,0.0,3.0,0.0,1.0,0.7071067811865476
9,Chase,Lateral Side Display,Aggressive,1.0,0.0,3.0,0.0,1.0,0.7071067811865476
10,Chase,Lead,Aggressive,14.0,0.0,12.0,0.0,6.5,3.774917217635375
11,Chase,Quiver,Aggressive,4.0,0.0,4.0,0.0,2.0,1.1547005383792515
12,Chase,Scrape,Aggressive,9.0,0.0,1.0,0.0,2.5,2.179449471770337
13,Dig Substrate,Chase,Reproductive,2.0,0.0,7.0,0.0,2.25,1.6520189667999174
14,Dig Substrate,Entry/Exit Pot,Reproductive,1.0,0.0,2.0,0.0,0.75,0.47871355387816905
15,Entry/Exit Pot,Chase,Reproductive,11.0,0.0,25.0,0.0,9.0,5.930148958219065
16,Entry/Exit Pot,Entry/Exit Pot,Reproductive,15.0,0.0,24.0,0.0,9.75,5.921359641163505
17,Entry/Exit Pot,Lead,Reproductive,7.0,0.0,7.0,0.0,3.5,2.0207259421636903
18,Entry/Exit Pot,Pot Dig,Reproductive,3.0,0.0,11.0,0.0,3.5,2.598076211353316
19,Foraging,Quiver,Reproductive,1.0,0.0,0.0,0.0,0.25,0.25
20,Lateral Side Display,Chase,Aggressive,4.0,0.0,4.0,0.0,2.0,1.1547005383792515
21,Lead,Border Fight,Reproductive,1.0,0.0,0.0,0.0,0.25,0.25
22,Lead,Chase,Reproductive,14.0,0.0,13.0,1.0,7.0,3.763863263545405
23,Lead,Dig Substrate,Reproductive,1.0,0.0,1.0,0.0,0.5,0.28867513459481287
24,Lead,Entry/Exit Pot,Reproductive,7.0,1.0,5.0,0.0,3.25,1.6520189667999174
25,Lead,Lateral Side Display,Reproductive,2.0,0.0,1.0,0.0,0.75,0.47871355387816905
26,Lead,Lead,Reproductive,25.0,5.0,5.0,0.0,8.75,5.543389456520863
27,Pot Dig,Entry/Exit Pot,Reproductive,2.0,0.0,9.0,0.0,2.75,2.1360009363293826
28,Pot Dig,Quiver,Reproductive,1.0,0.0,0.0,0.0,0.25,0.25
29,Quiver,Chase,Reproductive,3.0,0.0,3.0,0.0,1.5,0.8660254037844386
30,Quiver,Entry/Exit Pot,Reproductive,2.0,0.0,2.0,0.0,1.0,0.5773502691896257
31,Quiver,Lead,Reproductive,1.0,0.0,3.0,0.0,1.0,0.7071067811865476
32,Scrape,Chase,Aggressive,9.0,0.0,1.0,0.0,2.5,2.179449471770337
33,Scrape,Lead,Aggressive,1.0,0.0,0.0,0.0,0.25,0.25
34,Chase,Fleeing Female,Aggressive,0.0,0.0,1.0,0.0,0.25,0.25
35,Chase,Fleeing Male,Aggressive,0.0,0.0,2.0,0.0,0.5,0.5
36,Chase,Pot Dig,Aggressive,0.0,0.0,1.0,0.0,0.25,0.25
37,Dig Substrate,Dig Substrate,Reproductive,0.0,0.0,11.0,0.0,2.75,2.75
38,Dig Substrate,Foraging,Reproductive,0.0,0.0,2.0,0.0,0.5,0.5
39,Dig Substrate,Lead,Reproductive,0.0,0.0,2.0,0.0,0.5,0.5
40,Entry/Exit Pot,Foraging,Reproductive,0.0,0.0,1.0,0.0,0.25,0.25
41,Entry/Exit Pot,Quiver,Reproductive,0.0,0.0,4.0,0.0,1.0,1.0
42,Entry/Exit Pot,Scrape,Reproductive,0.0,0.0,1.0,0.0,0.25,0.25
43,Fleeing Female,Chase,Subordinate,0.0,0.0,1.0,0.0,0.25,0.25
44,Fleeing Male,Chase,Subordinate,0.0,0.0,2.0,0.0,0.5,0.5
45,Foraging,Chase,Reproductive,0.0,0.0,6.0,0.0,1.5,1.5
46,Foraging,Dig Substrate,Reproductive,0.0,0.0,2.0,0.0,0.5,0.5
47,Foraging,Entry/Exit Pot,Reproductive,0.0,0.0,1.0,0.0,0.25,0.25
48,Foraging,Foraging,Reproductive,0.0,0.0,7.0,0.0,1.75,1.75
49,Lead,Foraging,Reproductive,0.0,0.0,3.0,0.0,0.75,0.75
50,Lead,Quiver,Reproductive,0.0,0.0,1.0,0.0,0.25,0.25
51,Pot Dig,Chase,Reproductive,0.0,0.0,3.0,0.0,0.75,0.75
52,Pot Dig,Pot Dig,Reproductive,0.0,0.0,18.0,0.0,4.5,4.5
53,Quiver,Dig Substrate,Reproductive,0.0,0.0,1.0,0.0,0.25,0.25
54,Scrape,Entry/Exit Pot,Aggressive,0.0,0.0,1.0,0.0,0.25,0.25
55,Scrape,Scrape,Aggressive,0.0,0.0,1.0,0.0,0.25,0.25
