,Behavior,Behavioral category,duration_0,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,avg,sterr,stderr
0,Border Fight,Aggressive,33.39800000000025,40.74800000000005,53.04699999999991,30.43300000000056,86.87800000000033,19.91399999999993,0.0,26.42500000000004,0.0,0.0,0.0,26.440272727272827,0.0,8.239949398665162
1,Chase,Aggressive,395.0059999999999,235.74399999999997,295.99999999999983,118.82799999999992,730.7229999999993,202.8839999999998,24.331000000000017,142.034,748.6309999999994,352.57500000000044,125.28400000000005,306.54909090909075,0.0,72.36162537692249
2,Dig Substrate,Reproductive,210.61900000000014,824.3999999999996,107.80499999999995,331.64200000000045,0.5009999999999764,40.839000000000055,501.0030000000006,0.0,318.4059999999997,360.65300000000053,0.0,245.07890909090918,0.0,77.98768650084268
3,Foraging,Reproductive,274.1350000000004,241.5560000000001,131.0420000000001,544.5129999999995,77.77900000000034,75.76499999999953,235.1430000000002,4.20799999999997,306.9170000000003,654.9259999999992,0.0,231.45309090909086,0.0,63.82617034022304
4,Lateral Side Display,Aggressive,12.5060000000002,14.318000000000211,16.811999999999898,15.718999999999937,29.744000000000028,0.0,0.0,1.5009999999999994,3.001000000000033,2.6019999999999754,2.519999999999982,8.974818181818206,0.0,2.8828644713774874
5,Lead,Reproductive,246.5080000000001,254.1569999999997,209.30500000000006,577.7720000000004,651.76,1235.0570000000007,606.102999999999,289.08800000000014,150.36100000000022,274.1019999999994,383.93499999999995,443.4679999999999,0.0,94.67285944047732
6,Pot,Reproductive,27.35499999999979,26.622000000000014,127.83500000000072,4.9080000000000155,164.06600000000014,124.2120000000001,204.49200000000002,71.37700000000004,158.87599999999992,10.20699999999988,37.15400000000017,87.00945454545463,0.0,21.432752983295824
7,Pot Dig,Reproductive,36.8119999999999,41.24700000000007,105.7039999999995,33.02999999999997,11.512000000000569,55.47300000000001,52.549999999999784,19.917,0.0,0.0,13.231999999999971,33.58881818181816,0.0,9.270438932256297
8,Quiver,Reproductive,12.778999999999996,32.71599999999995,29.33199999999988,75.86799999999977,25.915999999999883,32.039999999999964,133.63599999999997,46.2439999999998,0.0,96.78500000000048,107.56499999999994,53.89827272727269,0.0,12.978146474390872
9,Scrape,Reproductive,126.35199999999935,86.68600000000015,58.85300000000018,60.17899999999946,45.842999999999506,0.0,39.74000000000012,5.6059999999999945,0.0,0.0,7.5639999999999645,39.16572727272716,0.0,12.598871381697684
10,Dig Pot,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.00800000000038,32.53200000000004,0.0,13.685454545454583,0.0,10.839326866355826
